cohort_month,cohort_index,customers,cohort_size,retention_rate
2016-09,0,1,1,1.0
2016-10,0,262,262,1.0
2016-10,6,1,262,0.003816793893129771
2016-10,9,1,262,0.003816793893129771
2016-10,11,1,262,0.003816793893129771
2016-10,13,1,262,0.003816793893129771
2016-10,15,1,262,0.003816793893129771
2016-10,17,1,262,0.003816793893129771
2016-10,19,2,262,0.007633587786259542
2016-10,20,2,262,0.007633587786259542
2016-12,0,1,1,1.0
2016-12,1,1,1,1.0
2017-01,0,717,717,1.0
2017-01,1,2,717,0.002789400278940028
2017-01,2,2,717,0.002789400278940028
2017-01,3,1,717,0.001394700139470014
2017-01,4,3,717,0.0041841004184100415
2017-01,5,1,717,0.001394700139470014
2017-01,6,3,717,0.0041841004184100415
2017-01,7,1,717,0.001394700139470014
2017-01,8,1,717,0.001394700139470014
2017-01,10,3,717,0.0041841004184100415
2017-01,11,1,717,0.001394700139470014
2017-01,12,5,717,0.00697350069735007
2017-01,13,3,717,0.0041841004184100415
2017-01,14,1,717,0.001394700139470014
2017-01,15,1,717,0.001394700139470014
2017-01,16,2,717,0.002789400278940028
2017-01,17,3,717,0.0041841004184100415
2017-01,19,1,717,0.001394700139470014
2017-02,0,1628,1628,1.0
2017-02,1,3,1628,0.0018427518427518428
2017-02,2,5,1628,0.003071253071253071
2017-02,3,2,1628,0.0012285012285012285
2017-02,4,7,1628,0.0042997542997543
2017-02,5,2,1628,0.0012285012285012285
2017-02,6,4,1628,0.002457002457002457
2017-02,7,3,1628,0.0018427518427518428
2017-02,8,2,1628,0.0012285012285012285
2017-02,9,3,1628,0.0018427518427518428
2017-02,10,2,1628,0.0012285012285012285
2017-02,11,5,1628,0.003071253071253071
2017-02,12,2,1628,0.0012285012285012285
2017-02,13,3,1628,0.0018427518427518428
2017-02,14,2,1628,0.0012285012285012285
2017-02,15,1,1628,0.0006142506142506142
2017-02,16,1,1628,0.0006142506142506142
2017-02,17,3,1628,0.0018427518427518428
2017-03,0,2503,2503,1.0
2017-03,1,11,2503,0.0043947263284059125
2017-03,2,9,2503,0.003595685177786656
2017-03,3,10,2503,0.003995205753096284
2017-03,4,9,2503,0.003595685177786656
2017-03,5,4,2503,0.0015980823012385138
2017-03,6,4,2503,0.0015980823012385138
2017-03,7,8,2503,0.0031961646024770275
2017-03,8,8,2503,0.0031961646024770275
2017-03,9,2,2503,0.0007990411506192569
2017-03,10,9,2503,0.003595685177786656
2017-03,11,3,2503,0.0011985617259288853
2017-03,12,5,2503,0.001997602876548142
2017-03,13,3,2503,0.0011985617259288853
2017-03,14,4,2503,0.0015980823012385138
2017-03,15,6,2503,0.0023971234518577705
2017-03,16,2,2503,0.0007990411506192569
2017-03,17,3,2503,0.0011985617259288853
2017-04,0,2256,2256,1.0
2017-04,1,14,2256,0.0062056737588652485
2017-04,2,5,2256,0.002216312056737589
2017-04,3,4,2256,0.0017730496453900709
2017-04,4,6,2256,0.0026595744680851063
2017-04,5,6,2256,0.0026595744680851063
2017-04,6,8,2256,0.0035460992907801418
2017-04,7,7,2256,0.0031028368794326243
2017-04,8,7,2256,0.0031028368794326243
2017-04,9,4,2256,0.0017730496453900709
2017-04,10,6,2256,0.0026595744680851063
2017-04,11,2,2256,0.0008865248226950354
